step,with Clustered Zealots_mean_opinion,with Clustered Zealots_mean_abs_opinion,with Clustered Zealots_non_zealot_variance,with Clustered Zealots_cluster_variance,with Clustered Zealots_negative_count,with Clustered Zealots_negative_mean,with Clustered Zealots_positive_count,with Clustered Zealots_positive_mean,with Clustered Zealots_polarization_index,with Clustered Zealots_identity_1_mean_opinion,with Clustered Zealots_identity_neg1_mean_opinion,with Clustered Zealots_identity_opinion_difference
170,0.0857,0.3985,0.1725,0.0469,216.7,-0.3542,263.3,0.3807,35.8505,0.0635,0.0289,0.0346
171,0.0858,0.3986,0.1726,0.0468,216.5,-0.3546,263.5,0.3806,35.8403,0.0635,0.0290,0.0345
172,0.0858,0.3987,0.1727,0.0468,216.5,-0.3547,263.5,0.3807,35.8403,0.0635,0.0291,0.0344
173,0.0859,0.3988,0.1727,0.0468,216.5,-0.3547,263.5,0.3809,35.8211,0.0635,0.0292,0.0343
174,0.0859,0.3989,0.1728,0.0468,216.5,-0.3548,263.5,0.3810,35.8715,0.0635,0.0293,0.0342
175,0.0860,0.3990,0.1729,0.0468,216.4,-0.3550,263.6,0.3810,35.8746,0.0635,0.0293,0.0342
176,0.0860,0.3991,0.1729,0.0468,216.4,-0.3550,263.6,0.3811,35.9178,0.0635,0.0295,0.0341
177,0.0861,0.3992,0.1730,0.0468,216.4,-0.3550,263.6,0.3813,35.9206,0.0635,0.0296,0.0340
178,0.0861,0.3993,0.1730,0.0468,216.2,-0.3554,263.8,0.3811,35.9361,0.0635,0.0296,0.0339
179,0.0862,0.3994,0.1731,0.0468,216.2,-0.3554,263.8,0.3813,35.9443,0.0635,0.0298,0.0338
180,0.0863,0.3995,0.1731,0.0468,216.2,-0.3555,263.8,0.3814,35.9630,0.0635,0.0299,0.0337
181,0.0863,0.3996,0.1732,0.0468,216.2,-0.3555,263.8,0.3815,35.9778,0.0636,0.0300,0.0336
182,0.0864,0.3996,0.1732,0.0468,216.3,-0.3553,263.7,0.3818,35.9778,0.0636,0.0301,0.0335
183,0.0864,0.3997,0.1733,0.0468,216.3,-0.3554,263.7,0.3819,35.9890,0.0636,0.0302,0.0334
