step,with Random Zealots_mean_opinion,with Random Zealots_mean_abs_opinion,with Random Zealots_non_zealot_variance,with Random Zealots_cluster_variance,with Random Zealots_negative_count,with Random Zealots_negative_mean,with Random Zealots_positive_count,with Random Zealots_positive_mean,with Random Zealots_polarization_index,with Random Zealots_identity_1_mean_opinion,with Random Zealots_identity_neg1_mean_opinion,with Random Zealots_identity_opinion_difference
142,0.1460,0.4003,0.1636,0.0485,184.6,-0.3342,295.4,0.3913,33.0388,0.1945,0.0352,0.1593
143,0.1461,0.4005,0.1637,0.0485,184.6,-0.3344,295.4,0.3915,33.0559,0.1946,0.0353,0.1593
144,0.1461,0.4007,0.1638,0.0485,184.5,-0.3347,295.5,0.3915,33.0681,0.1946,0.0353,0.1593
145,0.1462,0.4008,0.1640,0.0485,184.5,-0.3349,295.5,0.3917,33.0398,0.1947,0.0354,0.1593
146,0.1463,0.4010,0.1641,0.0485,184.5,-0.3350,295.5,0.3919,33.0398,0.1948,0.0355,0.1593
147,0.1463,0.4011,0.1642,0.0485,184.4,-0.3353,295.6,0.3919,33.0177,0.1948,0.0355,0.1593
148,0.1464,0.4013,0.1643,0.0485,184.4,-0.3354,295.6,0.3921,33.0316,0.1949,0.0356,0.1593
149,0.1464,0.4014,0.1644,0.0485,184.3,-0.3357,295.7,0.3921,33.0610,0.1950,0.0357,0.1593
150,0.1465,0.4015,0.1645,0.0485,184.1,-0.3361,295.9,0.3920,33.1286,0.1950,0.0358,0.1593
151,0.1466,0.4017,0.1646,0.0485,184.0,-0.3363,296.0,0.3921,33.1544,0.1951,0.0359,0.1592
152,0.1467,0.4018,0.1647,0.0485,184.1,-0.3362,295.9,0.3925,33.1544,0.1951,0.0361,0.1591
153,0.1468,0.4020,0.1647,0.0485,184.1,-0.3363,295.9,0.3927,33.1533,0.1952,0.0362,0.1590
154,0.1469,0.4021,0.1648,0.0484,184.1,-0.3364,295.9,0.3929,33.1867,0.1953,0.0363,0.1590
