step,community_0,community_1,community_2,community_3,community_4,community_5,community_6,community_7,community_8,community_10,community_11,community_12,community_20,community_21,community_23,community_32,community_37,community_38,community_57
92,0.0127,0.0056,0.0129,0.0050,0.0154,0.0029,0.0197,0.0196,0.0209,0.0023,0.0112,0.0149,0.0182,0.0087,0.0174,0.0012,0.0070,0.0034,0.0012
93,0.0128,0.0057,0.0130,0.0051,0.0154,0.0029,0.0200,0.0202,0.0211,0.0024,0.0115,0.0149,0.0186,0.0087,0.0174,0.0013,0.0070,0.0035,0.0012
94,0.0128,0.0057,0.0131,0.0051,0.0154,0.0030,0.0203,0.0207,0.0213,0.0025,0.0117,0.0148,0.0190,0.0087,0.0174,0.0013,0.0071,0.0036,0.0013
95,0.0128,0.0057,0.0133,0.0051,0.0155,0.0030,0.0206,0.0212,0.0215,0.0026,0.0119,0.0148,0.0194,0.0087,0.0173,0.0014,0.0072,0.0037,0.0013
96,0.0128,0.0057,0.0134,0.0052,0.0155,0.0030,0.0209,0.0218,0.0217,0.0027,0.0121,0.0148,0.0198,0.0087,0.0173,0.0015,0.0072,0.0038,0.0013
97,0.0128,0.0057,0.0136,0.0052,0.0155,0.0031,0.0212,0.0223,0.0219,0.0028,0.0123,0.0148,0.0202,0.0087,0.0173,0.0015,0.0073,0.0039,0.0014
98,0.0129,0.0057,0.0137,0.0052,0.0155,0.0031,0.0215,0.0228,0.0221,0.0029,0.0126,0.0148,0.0205,0.0087,0.0173,0.0016,0.0073,0.0040,0.0014
99,0.0129,0.0057,0.0138,0.0052,0.0156,0.0031,0.0217,0.0233,0.0223,0.0030,0.0128,0.0148,0.0209,0.0087,0.0172,0.0017,0.0074,0.0041,0.0014
100,0.0129,0.0058,0.0140,0.0053,0.0156,0.0032,0.0220,0.0239,0.0225,0.0031,0.0130,0.0148,0.0212,0.0087,0.0172,0.0017,0.0074,0.0042,0.0015
101,0.0129,0.0058,0.0141,0.0053,0.0156,0.0032,0.0223,0.0244,0.0227,0.0032,0.0133,0.0148,0.0216,0.0087,0.0172,0.0018,0.0075,0.0044,0.0015
102,0.0130,0.0058,0.0142,0.0053,0.0157,0.0032,0.0226,0.0249,0.0228,0.0033,0.0135,0.0147,0.0219,0.0087,0.0172,0.0019,0.0075,0.0045,0.0016
103,0.0130,0.0058,0.0143,0.0053,0.0157,0.0033,0.0228,0.0254,0.0230,0.0034,0.0137,0.0147,0.0222,0.0087,0.0172,0.0020,0.0076,0.0047,0.0016
104,0.0130,0.0058,0.0145,0.0054,0.0157,0.0033,0.0231,0.0259,0.0232,0.0035,0.0139,0.0147,0.0225,0.0087,0.0172,0.0020,0.0076,0.0048,0.0016
